ADDRESS,CITY,ZIPCODE,LONGITUDE,LATITUDE,MODES_SERV,MODE_BUS,MODE_RAIL,MODE_FERRY
4th St at Harrison St,San Francisco,94107,-122.3997492,37.7809546,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
4th St at Mission Bay Blvd S,San Francisco,94158,-122.3911984,37.7704074,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
50-56 N Autumn Street,San Jose,95110,-121.900084,37.332692,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
53rd St at Hollis St,Emeryville,94608,-122.2871801,37.8361823,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
55th St at Telegraph Ave,Oakland,94609,-122.2618225,37.8401858,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
56-98 N San Pedro Street,San Jose,95110,-121.894074,37.336721,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
59th St at Horton St,Emeryville,94608,-122.2913604,37.8409452,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
5th St at Brannan St,San Francisco,94107,-122.3990176,37.7767539,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
5th St at E. San Salvador St,San Jose,95112,-121.88163,37.331957,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
5th St at Folsom St,San Francisco,94107,-122.403158,37.780148,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
5th St at Taylor St,San Jose,95112,-121.8959209,37.3510173,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
5th St at Virginia St,San Jose,95112,-121.87712,37.3259984,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
65th St at Hollis St,Emeryville,94608,-122.2913761,37.8467842,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
7th at Market,San Francisco,94102,-122.412919,37.780356,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
7th St at Brannan St,San Francisco,94103,-122.4036725,37.7734919,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
8th St at Brannan St,San Francisco,94103,-122.4057868,37.77143136,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
8th St at Ringold St,San Francisco,94103,-122.4094494,37.7745204,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
950 N San Pedro St,San Jose,95110,-121.905733,37.352601,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
9th St at San Fernando,San Jose,95112,-121.8807965,37.3383952,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Addison St at Fourth St,Berkeley,94710,-122.2993708,37.866249,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Adeline St at 40th St,Emeryville,94608,-122.2782669,37.8312769,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Alcatraz Ave at Shattuck Ave,Oakland,94609,-122.265569,37.84959497,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Almaden Blvd at Balbach St,San Jose,95110,-121.8892731,37.32673,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Ashby BART Station,Berkeley,94703,-122.2702132,37.8524766,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Autumn Parkway at Coleman Ave,San Jose,95110,-121.9031829,37.3413348,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Bancroft Way at College Ave,Berkeley,94720,-122.2543374,37.8693603,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Bancroft Way at Telegraph Ave,Berkeley,94720,-122.258764,37.8688126,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Bay Pl at Vernon St,Oakland,94610,-122.2607785,37.81231409,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Beale at Howard,San Francisco,94105,-122.394643,37.789756,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Beale at Market,San Francisco,94105,-122.397086,37.792251,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Beale St at Harrison St,San Francisco,94105,-122.3918648,37.7880593,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Berkeley Civic Center,Berkeley,94704,-122.270556,37.8690599,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Berry St at 4th St,San Francisco,94107,-122.393241,37.775871,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Berry St at King St,San Francisco,94107,-122.3984376,37.77176211,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Bestor Art Park,San Jose,95112,-121.8741186,37.3236779,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Broadway at 30th St,Oakland,94609,-122.2619284,37.8193814,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Broadway at 40th St,Oakland,94609,-122.2567156,37.8277573,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Broadway at Coronado Ave,Oakland,94618,-122.2516207,37.8357883,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Broadway at Kearny,San Francisco,94133,-122.4059504,37.79801364,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Broderick St at Oak St,San Francisco,94117,-122.4390777,37.7730627,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Bryant St at 15th St,San Francisco,94103,-122.410662,37.7671004,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Bryant St at 2nd St,San Francisco,94107,-122.393572,37.78317199,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Bryant St at 6th St,San Francisco,94103,-122.40259,37.775975,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Bushrod Park,Oakland,94609,-122.2653043,37.8465156,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Cahill Park,San Jose,95110,-121.9046,37.32905,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
California St at University Ave,Berkeley,94703,-122.2797203,37.87055533,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Central Ave at Fell St,San Francisco,94117,-122.4442926,37.77331088,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Cesar Chavez St at Dolores St,San Francisco,94131,-122.4249863,37.7478584,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Channing Way at San Pablo Ave,Berkeley,94710,-122.2902305,37.8628271,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Channing Way at Shattuck Ave,Berkeley,94704,-122.2674431,37.8658466,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Church St at Duboce Ave,San Francisco,94114,-122.4291557,37.7700831,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Civic Center/UN Plaza BART Station (Market St at McAllister St),San Francisco,94103,-122.4117382,37.7810737,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Clay at Battery,San Francisco,94111,-122.39997,37.795001,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
College Ave at Alcatraz Ave,Berkeley,94705,-122.2525233,37.8513755,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
College Ave at Bryant Ave,Oakland,94618,-122.2512714,37.8381269,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
College Ave at Harwood Ave,Oakland,94618,-122.2521599,37.848152,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
College Ave at Taft Ave,Oakland,94618,-122.2515349,37.8417999,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Cyril Magnin at Market,San Francisco,94102,-122.408433,37.783871,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Cyril Magnin St at Ellis St,San Francisco,94102,-122.408891,37.785908,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
DeFremery Park,Oakland,94607,-122.2851712,37.8123315,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Delmas Ave and San Fernando St,San Jose,95110,-121.8977018,37.3302641,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Derby St at College Ave,Berkeley,94704,-122.2535687,37.8618037,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Division St at Potrero Ave,San Francisco,94103,-122.4076456,37.76921786,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Dolores St at 15th St,San Francisco,94103,-122.4266136,37.7662102,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Dover St at 57th St,Oakland,94609,-122.267738,37.8426295,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Downtown Berkeley BART,Berkeley,94704,-122.2677637,37.8703477,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Doyle St at 59th St,Emeryville,94608,-122.2880451,37.8419238,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Duboce Park,San Francisco,94117,-122.4338119,37.7692005,2,"No bus (transit, intercity, supplemental, or code-share) service available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
El Embarcadero at Grand Ave,Oakland,94610,-122.2496799,37.8088479,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Ellsworth St at Russell St,Berkeley,94705,-122.2615778,37.85749021,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Embarcadero at Sansome,San Francisco,94111,-122.403234,37.80477,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Emeryville Public Market,Emeryville,94608,-122.2935283,37.84052117,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Emeryville Town Hall,Emeryville,94608,-122.2856333,37.8312752,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Empire St at 1st St,San Jose,95112,-121.8969655,37.3448821,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Esprit Park,San Francisco,94107,-122.3906477,37.7616343,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Eureka Valley Recreation Center,San Francisco,94114,-122.4369431,37.7591769,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Father Alfred E Boeddeker Park,San Francisco,94102,-122.412408,37.7839879,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Fifth St at Delaware St,Berkeley,94710,-122.2996759,37.87040712,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Folsom St at 13th St,San Francisco,94103,-122.415674,37.769757,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Folsom St at 15th St,San Francisco,94103,-122.4154425,37.7670373,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Folsom St at 19th St,San Francisco,94110,-122.4148171,37.7605936,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Folsom St at 3rd St,San Francisco,94105,-122.398916,37.783844,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Folsom St at 9th St,San Francisco,94103,-122.4116467,37.7737172,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Foothill Blvd at 42nd Ave,Oakland,94601,-122.2130372,37.7757452,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Foothill Blvd at Fruitvale Ave,Oakland,94601,-122.2226033,37.7837569,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Foothill Blvd at Harrington Ave,Oakland,94601,-122.2177284,37.77993,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Fountain Alley at S 2nd St,San Jose,95113,-121.8892765,37.3361883,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Frank H Ogawa Plaza,Oakland,94612,-122.2717381,37.80456235,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Franklin Square,San Francisco,94110,-122.410345,37.764555,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Franklin St at 9th St,Oakland,94607,-122.2720799,37.8005161,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Fruitvale Ave at International Blvd,Oakland,94601,-122.225771,37.7776818,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Fruitvale BART Station,Oakland,94601,-122.2244982,37.7752321,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Fulton St at Ashby Ave,Berkeley,94705,-122.2635654,37.85557366,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Fulton St at Bancroft Way,Berkeley,94704,-122.2658964,37.8677892,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Garfield Square (25th St at Harrison St),San Francisco,94110,-122.4119009,37.7510171,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Genoa St at 55th St,Emeryville,94608,-122.2717561,37.8396488,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
George St at 1st St,San Jose,95110,-121.899464,37.3477319,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Golden Gate at Polk,San Francisco,94102,-122.418603,37.781332,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Golden Gate Ave at Hyde St,San Francisco,94102,-122.4154077,37.7816495,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Grand Ave at Perkins St,Oakland,94610,-122.2564602,37.80889393,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Grand Ave at Santa Clara Ave,Oakland,94610,-122.2472152,37.8127441,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Grand Ave at Webster St,Oakland,94612,-122.2651925,37.8113768,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
